海克斯遗物 Flavor 清单

来源：assets/localization/zhs/relics.json
排序：hextech_relics_summary.txt 当前顺序
说明：敌方海克斯使用同名图标遗物，因此 flavor 与同名海克斯遗物共用。

玩家海克斯：

白银：
- 扇巴掌：先给一记耳光，再让羞辱慢慢生根。
- 敏捷转力量：脚步越轻，落拳越重。
- 力量转敏捷：把蛮力拧细，便成了身法。
- 敏捷力量转集中：肌肉与步伐沉默下来，核心才开始发声。
- 巫师式思考：别挥太急。先让脑子发光。
- 灵巧：多一张牌，常常就是多一条路。
- 逃跑计划：最可靠的撤退，通常在开战前就写好了。
- 恶趣味：痛苦若能回收，便不算浪费。
- 急救用具：绷带不懂奇迹，只懂动作要快。
- 速度恶魔：第一个动起来的人，连机会都会追着他跑。
- 重量级打击手：体重只是数字，砸下来才是答案。
- 大力：有些问题，确实可以大力解决。
- 启动流程：流程走完之前，伤口最好先在门外排队。
- 收集者：有人数战果，有人数账目。
- 不退甲胄：甲胄没有退路，只会把裂缝也当成纹路。
- 百鬼夜行：夜路越长，跟来的影子越多。
- 歃血：血滴落下时，誓言才真正开始计数。
- 血小板：伤口刚张开，防线就开始结痂。
- ！？蛇咬？！：草丛动了一下，然后你的手牌也动了一下。
- 剑意：剑先于手抵达，心意随后补上。
- 无暇：没有颜色的剑光，反而最难挑出破绽。
- 凝辉：每一张新牌的边缘，都能折出一点星光。
- 副产物：故障不是浪费，它只是另一条线路的开端。
- 电能激荡：电流醒来时，从不先敲门。
- 引魂：轻声一唤，远处的回音便排队归来。
- 嘲弄：越是不祥的预言，越适合大声说出来。
- 折磨者：疼痛会离开；折磨会留下。
- 坚若磐石：恶意撞上石头，只会把自己撞响。
- 山脉龙魂：山从不闪避，它只是等待你先碎裂。
- 冰霜幽灵：寒意不杀人，只把每一步都拖成遗言。
- 霸符兄弟：一人递拳套，一人递工具箱。
- 家园卫士：守住脚下，远方自然会摊开。
- 快中求稳：越快的人，越需要给失误留一层壳。
- 献祭：每个幸存的敌人，都是还没兑现的筹码。
- 防护面纱：真正的面纱，是让诅咒以为自己已经命中。
- 退敌力场：墙角没有退路，只有尚未启动的力场。
- 点亮他们！：第四次挥击时，火花会替你再说一遍。
- 终极不可阻挡：大动作上场前，反制最好先退场。
- 荆棘之甲：碰上来之前，它看起来只是一副盔甲。
- 狂热者：遗物越多，开局的心跳越吵。
- 由心及物：念头堆到足够多，肉身也得让路。
- 属性！：先把数字敲进骨头里。
- 质变：黄金阶：银色外壳裂开时，里面未必还是旧东西。

黄金：
- 裁决使：审判不需要很长，只需要敌人站得够低。
- 超凡邪恶：恶意被养熟后，会自己学会开花。
- 坦克引擎：轰鸣声越沉，说明它离停下越远。
- 星界躯体：星辰愿意借你躯壳，也会留下重量。
- 古式佳酿：老酒不治伤，只让血继续热着。
- 圣火：神圣的火焰，总爱顺手点燃旁观者。
- 一板一眼：抽象思考留给别人；这里按拳头办事。
- 超强大脑：聪明到最后，脑壳也会长成盾牌。
- 溢流：闸门不该半开。要么枯竭，要么泛滥。
- 坚韧：裂缝不是终点，只是证明它还撑着。
- 循环往复：把今天调成昨天的样子，能省下许多祈祷。
- 回力OK镖：它飞走时像玩笑，飞回时像催债。
- 神圣干预：奇迹很少解释，只把致命的一寸挪开。
- 咏叹奏鸣：一拍催行，一拍止血，乐章刚好够长。
- 尖端炼药师：烧杯里的颜色越危险，标签越显高级。
- 魔鬼之舞：步伐贴着刀刃，血却越跳越热。
- 有始有终：开局写下终章，终章负责收割。
- 基石猎人：每一场胜利，都从最趁手的工具开始。
- 狂徒豪气：伤口还没合上，铠甲已经长出下一层。
- 红包：红纸包住好运，也包住账本的声音。
- 生命回流：燃尽的纸灰，顺着血管回到了原处。
- 死灰复燃：灰烬里还藏着一口没熄的火。
- 戏法特许：规则也会给娴熟的手法让路。
- 星河馈赠：星光不是货币，它只是偶尔愿意找零。
- 无中生有：空处不是没有东西，只是还没被叫出来。
- 润滑油：最沉的齿轮，也会在第一圈里学会顺滑。
- 狂妄：胜利越多，谦虚越像多余的负重。
- 汲取：每一次呼唤，都从敌人的命运里舀走一点。
- 致命节奏：刀锋落下之前，节拍已经先一步命中。
- 海市蜃楼：毒雾越浓，幻影越像真实的墙。
- 涌现：线路没有答案时，电流会自己给出。
- 自适应电容：容量总会长到刚好装下下一次过载。
- 换新：旧牌落地，新牌已经在袖口发烫。
- 怨灵：怨念越多，刀口越冷。
- 剑来！：王命所至，剑不问路。
- 不朽骨：骨头记得回来的路。
- 归为己用：敌人留下的东西，迟早会学会听你的名字。
- 大限将至：终点并不突然，它只是每天准时靠近一点。
- 心灵净化：所谓净化，不过是把问题留给旁边的人。
- 无休回复：旅途不负责温柔，只负责让你没倒下。
- 急急小子：能量灌进手腕，犹豫就追不上了。
- 仆从大师：亲力亲为，是管理失败的证据。
- 吞噬灵魂：每吞下一点黑暗，影子就更像本人。
- 捐赠：别问用途。收据会自己出现。
- 接二连三：第一下试探，第二下确认，第三下定案。
- 火上浇油：火势太小的时候，道德感最碍事。
- 夜狩：夜色不帮善人，只帮还没出手的人。
- 罪恶快感：快乐若要有分量，最好晚一拍兑现。
- 黎明使者的坚决：黎明不会提前到来，但有人会替你撑到那时。
- 缩小射线：尺寸一旦可以谈判，尊严也会缩水。
- 缩小引擎：越小越快，越快越难被算进计划。
- 属性叠属性！：一层锻痕盖住另一层锻痕。
- 质变：棱彩阶：金色只是门槛，棱彩才是赌注。

棱彩：
- 尤里卡：灵感不从天降，它从一堆零件里爬出来。
- 无限循环往复：重复得足够久，奇迹也会像流程。
- 慢炖：火不必着急；锅里的东西已经没有选择。
- 巨人杀手：巨人太高，所以弱点总在膝盖以下。
- 巨像的勇气：勇气若够重，便可以直接穿在身上。
- 玻璃大炮：它碎得很响，响得也很值。
- 最终形态：最后的形态，从来不是开局就给人看的。
- 回归基本功：花招会忘记你，基本功不会。
- 亮出你的剑：出鞘那刻，退路也该一并斩断。
- 感受燃烧：药瓶落地后，余温才开始找人算账。
- 米凯尔的祝福：真正的祝福，会把苦味连根洗掉。
- 大地苏醒：沉默的岩层翻了个身。
- 战争交响乐：鼓点起处，蛇影与恶魔同声。
- 不动如山：山不追逐胜利；胜利自己撞上山。
- ？？？：问号没有答案，只有下一次混乱。
- 科学怪人：线先接上，伦理委员会可以稍后再来。
- 珠光护手：光芒亮起时，侥幸也会被称作技巧。
- 尊我为王：王冠不会自己落下，除非台阶上先有人倒下。
- 秘术冲拳：咒文短到极致，就只剩拳风。
- 潘朵拉的盒子：盒子打开以后，旧标签全都失效。
- 踢踏舞：脚步找到节拍，手牌就会跟着鼓掌。
- 炼狱导管：最好的导线，连地狱的热也能送到。
- 双刀流：两把刀若有一把闲着，便是浪费。
- 歌利亚巨人：高到某种程度，影子也能先压垮敌人。
- 物法皆修：刀锋与咒文不必和解，只要轮流奏效。
- 男爵之手：赏赐落下时，膝盖会比嘴更诚实。
- 你摸不到：你可以伸手。结果另算。
- 终极刷新：重来一次太慢；多来一次正好。
- 女王：命令一出口，迟疑就成了叛逆。
- 夺金：每次出手都该有响声，最好是金币的。
- 地狱三头犬：三张嘴同时咆哮时，代价会先躲开。
- 死亡之环：伤口绕成圆，下一刀就知道归路。
- 连拨击锤：扳机只扣一次，回声却不必守规矩。
- 精怪魔法：真正棘手的咒语，会先偷走下一步。
- 当心小蛋糕：甜味只是诱饵，重点在盘底藏着什么。
- 蛋白粉奶昔：喝下去的是粉，站起来的是墙。
- 属性叠属性叠属性！：最后一锤落下时，数字已经不再像数字。
- 金铲铲：它不只挖出机会，也顺手把机会锻亮。
- 精准认知：误差被剔除后，世界只剩下可计算的部分。
- 潦草急就：思路来得太急，字迹只好自己跟上。
- 小丑学院：课程表上写满了笑声，作业全是陷阱。
- 利刃华尔兹：舞步旋至终点时，刀光才肯谢幕。
- 奇点AI：它不预测未来；它把未来递到你手里。
- 扉八分钱：哦对了。
- 愈战愈勇：力量抬头时，机会也会顺势松绑。
- 脚踏实地：站稳之后，盾牌才知道自己还能长高。
- 杀手猎人：真正的猎手，会先让猎物忘记如何反击。
- 蛇牙：毒液先开路，短刃随后咬合。
- 爆炸艺术：美学的终点，是足够响亮的结尾。
- 星光璀璨：回合越久，星河越亮。
- 悲惨命运：别人命运越沉，你身前的阴影越厚。
- 为你而死：最后一次守护，也可以是一场反击。
- 歪打正着：故障偶尔也会拧出正确的电流。
- 苦楚：痛苦不尖叫时，才最会削弱人。
- 幽魂形态：身形淡去，伤口也无处落脚。
- 质变：混沌：把混沌装进账本，秩序才算真正开始。

敌方海克斯：

白银：
- 急救用具：绷带不懂奇迹，只懂动作要快。
- 扇巴掌：先给一记耳光，再让羞辱慢慢生根。
- 速度恶魔：第一个动起来的人，连机会都会追着他跑。
- 逃跑计划：最可靠的撤退，通常在开战前就写好了。
- 重量级打击手：体重只是数字，砸下来才是答案。
- 大力：有些问题，确实可以大力解决。
- 折磨者：疼痛会离开；折磨会留下。
- 防护面纱：真正的面纱，是让诅咒以为自己已经命中。
- 退敌力场：墙角没有退路，只有尚未启动的力场。
- 荆棘之甲：碰上来之前，它看起来只是一副盔甲。
- 点亮他们！：第四次挥击时，火花会替你再说一遍。
- 山脉龙魂：山从不闪避，它只是等待你先碎裂。
- 冰霜幽灵：寒意不杀人，只把每一步都拖成遗言。
- 歃血：血滴落下时，誓言才真正开始计数。

黄金：
- 坚韧：裂缝不是终点，只是证明它还撑着。
- 黎明使者的坚决：黎明不会提前到来，但有人会替你撑到那时。
- 缩小射线：尺寸一旦可以谈判，尊严也会缩水。
- 火上浇油：火势太小的时候，道德感最碍事。
- 超强大脑：聪明到最后，脑壳也会长成盾牌。
- 夜狩：夜色不帮善人，只帮还没出手的人。
- 星界躯体：星辰愿意借你躯壳，也会留下重量。
- 坦克引擎：轰鸣声越沉，说明它离停下越远。
- 缩小引擎：越小越快，越快越难被算进计划。
- 罪恶快感：快乐若要有分量，最好晚一拍兑现。
- 接二连三：第一下试探，第二下确认，第三下定案。
- 循环往复：把今天调成昨天的样子，能省下许多祈祷。
- 仆从大师：亲力亲为，是管理失败的证据。
- 尖端炼药师：烧杯里的颜色越危险，标签越显高级。
- 神圣干预：奇迹很少解释，只把致命的一寸挪开。
- 魔鬼之舞：步伐贴着刀刃，血却越跳越热。
- 咏叹奏鸣：一拍催行，一拍止血，乐章刚好够长。
- 不朽骨：骨头记得回来的路。
- 大限将至：终点并不突然，它只是每天准时靠近一点。

棱彩：
- 巨像的勇气：勇气若够重，便可以直接穿在身上。
- 玻璃大炮：它碎得很响，响得也很值。
- 歌利亚巨人：高到某种程度，影子也能先压垮敌人。
- 女王：命令一出口，迟疑就成了叛逆。
- 男爵之手：赏赐落下时，膝盖会比嘴更诚实。
- 你摸不到：你可以伸手。结果另算。
- 物法皆修：刀锋与咒文不必和解，只要轮流奏效。
- 夺金：每次出手都该有响声，最好是金币的。
- 感受燃烧：药瓶落地后，余温才开始找人算账。
- 回归基本功：花招会忘记你，基本功不会。
- 科学怪人：线先接上，伦理委员会可以稍后再来。
- 精怪魔法：真正棘手的咒语，会先偷走下一步。
- 最终形态：最后的形态，从来不是开局就给人看的。
